1;2;3;4;5;6;8;9;10;11;12;13;14;15;16
0;32;28;4;2;0;3;0;0;2;1;8;5;28;0
32;0;40;6;2;2;7;1;1;5;1;13;7;45;0
28;40;0;9;4;3;9;1;4;11;5;18;6;59;1
4;6;9;0;;2;0;0;1;0;0;4;1;8;0
2;2;4;0;0;;0;0;0;0;0;2;0;3;0
0;2;3;2;0;0;1;1;1;0;0;3;3;1;0
3;7;9;0;0;1;0;1;1;3;2;4;1;12;0
0;1;1;0;0;1;1;0;1;0;1;2;2;1;0
0;1;4;1;0;1;1;1;0;0;1;1;2;2;1
2;5;11;0;0;0;3;0;0;0;3;1;1;11;0
1;1;5;0;0;1;2;1;1;3;0;2;1;6;0
8;13;18;4;2;3;4;2;1;1;2;0;4;22;0
5;7;6;1;0;3;1;2;2;1;1;4;0;2;0
28;45;59;8;3;1;12;1;2;11;6;22;2;0;1
0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
